# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (NONE)	Total score (NONE)	Length (NONE)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (CODON_CHANGE_PLUS_CODON_DELETION)	Count (CODON_CHANGE_PLUS_CODON_INSERTION)	Count (CODON_DELETION)	Count (CODON_INSERTION)	Count (DOWNSTREAM)	Count (EXON)	Count (FRAME_SHIFT)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
CENPN	CENPN	mRNA	3	0	11619	2	0	5307	19	0	26607	18	0	21300	0	0	0	0	0	24	0	0	20	2	0	5000	0	0	3288	0	0	790	0	0	0	0	3	0	0	18	2	0	0	0	0	0	0	0	0	0	2	0	0
CENPO	CENPO	mRNA	5	0	5000	1	0	4244	13	0	29071	9	0	24827	0	0	0	0	0	14	0	0	16	2	0	5156	3	0	3058	0	0	283	0	0	0	0	5	0	0	9	1	0	0	0	0	0	0	0	0	0	2	3	0
CENPP	CENPP	mRNA	3	0	5000	0	0	3413	25	0	289697	24	0	286284	0	0	0	0	0	14	0	0	14	1	0	5000	0	0	2006	1	0	540	0	0	0	0	3	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	1
CENPQ	CENPQ	mRNA	0	0	5000	2	0	1728	11	0	29725	9	0	27997	0	0	0	0	0	16	0	0	16	22	0	5000	0	0	832	0	0	89	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	22	0	0
CENPT	CENPT	mRNA	1	0	5000	0	0	2345	0	0	19302	2	0	16957	0	0	0	0	0	30	0	0	30	0	0	5000	0	0	110	0	0	549	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPV	CENPV	mRNA	0	0	5000	0	0	1164	4	0	10965	3	0	9801	0	0	0	0	0	8	0	0	8	0	0	5000	1	0	283	0	0	62	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
CENPVP1	CENPVP1	Non-coding_transcript	0	0	5000	0	0	1302	0	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPVP1.2	CENPVP1	Non-coding_transcript	0	0	5000	0	0	1302	0	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPVP2	CENPVP2	Non-coding_transcript	0	0	5000	0	0	1302	0	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPVP2.2	CENPVP2	Non-coding_transcript	0	0	5000	0	0	1302	0	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPW	CENPW	mRNA	0	0	5000	1	0	550	2	0	8502	1	0	7952	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	116	0	0	167	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	CEP104	mRNA	0	0	5000	3	0	6458	38	0	45153	35	0	38695	0	0	0	0	0	42	0	0	42	1	0	5000	0	0	3321	0	0	359	0	0	0	0	0	0	0	35	1	0	0	0	0	0	0	2	0	0	1	0	0
CEP112	CEP112	mRNA	0	0	5000	4	0	4022	76	0	556555	73	0	552533	0	0	0	0	0	52	0	0	56	0	0	10225	0	0	431	0	0	561	0	0	0	0	0	0	0	73	2	0	0	0	0	0	0	2	0	0	0	0	0
CEP120	CEP120	mRNA	2	0	5000	4	0	4711	40	0	78708	35	0	73997	0	0	0	0	0	40	0	0	40	0	0	5000	1	0	1634	0	0	145	0	0	0	0	2	0	0	35	2	0	0	0	0	0	0	2	0	0	0	1	0
CEP128	CEP128	mRNA	0	0	5000	2	0	4457	30	0	443064	28	0	438607	0	0	0	0	0	46	0	0	46	0	0	5000	0	0	1001	0	0	171	0	0	0	0	0	0	0	28	2	0	0	0	0	0	0	0	0	0	0	0	0
CEP135	CEP135	mRNA	0	0	5000	1	0	5735	8	0	84556	7	0	78821	0	0	0	0	0	50	0	0	50	1	0	5000	0	0	2015	0	0	297	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	1	0	0
CEP152	CEP152	mRNA	0	0	5000	4	0	5637	12	0	73209	8	0	67572	0	0	0	0	0	52	0	0	52	0	0	5000	0	0	311	0	0	193	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	2	0	0	0	0	0
CEP164	CEP164	mRNA	0	0	5000	10	0	5697	28	0	91489	17	0	85792	0	0	0	0	0	64	0	0	70	0	0	10000	1	0	1098	0	0	207	0	0	0	0	0	0	0	17	4	0	0	0	0	2	1	3	0	0	0	1	0
CEP170	CEP170	mRNA	0	0	5000	3	0	7214	14	0	130979	11	0	123765	0	0	0	0	0	40	0	0	40	1	0	5000	0	0	2021	0	0	408	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	1	0	0	1	0	0
CEP170B	CEP170B	mRNA	2	0	5000	14	0	6810	52	0	31458	38	0	24648	0	0	0	0	0	38	0	0	36	0	0	5000	0	0	1812	0	0	333	0	0	6	0	2	0	0	38	1	0	0	0	0	0	0	7	0	0	0	0	0
CEP170P1	CEP170P1	Non-coding_transcript	2	0	5000	0	0	1070	4	0	37865	4	0	36795	0	0	0	0	0	14	0	0	14	15	0	5000	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	15	0	0
CEP19	CEP19	mRNA	0	0	5000	1	0	2160	0	0	5976	3	0	3816	0	0	0	0	0	4	0	0	4	6	0	5000	0	0	1274	0	0	382	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	6	0	0
CEP192	CEP192	mRNA	1	0	5000	5	0	7976	29	0	133691	23	0	125715	0	0	0	0	0	88	0	0	88	1	0	5000	0	0	282	1	0	80	0	0	0	0	1	0	0	23	5	0	0	0	0	0	0	0	0	0	1	0	1
CEP250	CEP250	mRNA	0	0	5000	2	0	8324	17	0	56581	15	0	48257	0	0	0	0	0	68	0	0	68	0	0	5000	0	0	348	0	0	647	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	1	0	0	0	0	0
CEP290	CEP290	mRNA	1	0	5000	58	0	7955	76	0	93204	16	0	85249	2	0	0	0	0	106	0	0	106	0	0	5000	0	0	171	0	0	344	0	0	0	0	1	0	0	16	31	1	0	0	0	1	0	26	1	0	0	0	0
CEP350	CEP350	mRNA	0	0	5000	3	0	13456	40	0	160108	36	0	146652	0	0	0	0	0	74	0	0	74	0	0	5000	0	0	3719	1	0	383	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	1	0	0	0	0	1
CEP41	CEP41	mRNA	1	0	10000	8	0	9460	10	0	47440	3	0	37980	0	0	0	0	0	22	0	0	22	0	0	5000	0	0	8026	2	0	244	0	0	0	0	1	8	0	3	5	0	0	0	0	0	0	1	0	0	0	0	2
CEP44	CEP44	mRNA	0	0	10000	2	0	6552	3	0	49704	1	0	43152	0	0	0	0	0	24	0	0	24	0	0	5227	0	0	4733	0	0	532	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
CEP55	CEP55	mRNA	0	0	5000	3	0	2658	12	0	32481	9	0	29823	0	0	0	0	0	16	0	0	18	0	0	5020	0	0	939	0	0	324	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0
CEP57	CEP57	mRNA	3	0	5000	1	0	3222	3	0	42233	2	0	39011	0	0	0	0	0	22	0	0	22	0	0	5000	0	0	1437	0	0	309	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
CEP57L1	CEP57L1	mRNA	0	0	5000	0	0	3105	1	0	68760	1	0	65655	0	0	0	0	0	24	0	0	28	0	0	10000	0	0	1163	0	0	766	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP63	CEP63	mRNA	5	0	10000	2	0	6743	23	0	89281	21	0	82538	0	0	0	0	0	32	0	0	34	0	0	5472	1	0	3615	0	0	917	0	0	0	0	5	0	0	21	0	0	0	0	0	1	0	1	0	0	0	1	0
CEP68	CEP68	mRNA	2	0	5000	8	0	5862	9	0	30648	1	0	24786	0	0	0	0	0	12	0	0	12	1	0	5000	0	0	3374	0	0	214	0	0	3	0	2	0	0	1	3	0	0	0	0	0	0	2	0	0	1	0	0
CEP70	CEP70	mRNA	1	0	5000	3	0	2662	18	0	99943	9	0	97281	0	0	0	0	0	34	0	0	34	0	0	5000	6	0	670	0	0	198	0	0	0	0	1	0	0	9	1	0	0	0	0	0	0	2	0	0	0	6	0
CEP72	CEP72	mRNA	0	0	5000	1	0	2414	14	0	41262	13	0	38848	0	0	0	0	0	22	0	0	22	0	0	5000	0	0	398	0	0	72	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP76	CEP76	mRNA	3	0	10000	3	0	3161	0	0	40822	0	0	37661	0	0	0	0	0	26	0	0	24	2	0	5000	0	0	738	2	0	229	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
CEP78	CEP78	mRNA	0	0	5000	1	0	2750	6	0	30993	5	0	28243	0	0	0	0	0	30	0	0	30	0	0	5000	0	0	305	0	0	276	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0
CEP85	CEP85	mRNA	19	0	5000	1	0	3935	8	0	44607	7	0	40672	0	0	0	0	0	26	0	0	26	0	0	5000	0	0	1515	0	0	131	0	0	0	0	19	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP85L	CEP85L	mRNA	0	0	10000	2	0	8042	24	0	249304	20	0	241262	0	0	0	0	0	26	0	0	28	3	0	10000	1	0	4833	1	0	655	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	3	1	1
CEP89	CEP89	mRNA	0	0	5000	11	0	2605	60	0	92966	49	0	90361	0	0	0	0	0	36	0	0	36	7	0	5000	0	0	164	0	0	89	0	0	0	0	0	0	0	49	7	0	0	0	0	0	1	3	0	0	7	0	0
CEP95	CEP95	mRNA	0	0	5000	0	0	2689	1	0	30905	1	0	28216	0	0	0	0	0	38	0	0	38	1	0	5000	0	0	165	0	0	58	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CEP97	CEP97	mRNA	1	0	5000	1	0	4411	5	0	42688	4	0	38277	0	0	0	0	0	20	0	0	20	1	0	5000	0	0	1786	0	0	27	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0
CEPT1	CEPT1	mRNA	3	0	5000	1	0	2348	3	0	45476	2	0	43128	0	0	0	0	0	16	0	0	18	0	0	5584	0	0	792	0	0	305	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
CER1	CER1	mRNA	4	0	5000	4	0	1205	7	0	2984	2	0	1779	0	0	0	0	0	2	0	0	2	0	0	5000	1	0	356	0	0	45	0	0	0	0	4	0	0	2	3	0	0	0	0	0	0	3	0	0	0	1	0
CERCAM	CERCAM	mRNA	0	0	5000	2	0	2689	23	0	16872	21	0	14183	0	0	0	0	0	24	0	0	24	0	0	5000	0	0	503	0	0	398	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0
CERK	CERK	mRNA	1	0	5000	2	0	4445	31	0	53846	25	0	49401	0	0	0	0	0	24	0	0	24	2	0	5000	2	0	2724	2	0	107	0	0	0	0	1	0	0	25	0	0	0	0	0	0	0	2	0	0	2	2	2
CERKL	CERKL	mRNA	4	0	5000	6	0	3288	16	0	120434	11	0	117146	0	0	0	0	0	26	0	0	26	0	0	5000	1	0	1510	0	0	101	0	0	0	0	4	6	0	11	1	0	0	0	0	0	0	4	0	0	0	1	0
CERS1	CERS1	mRNA	0	0	10000	0	0	3579	17	0	27593	6	0	24014	0	0	0	0	0	14	0	0	14	0	0	5000	11	0	2450	0	0	72	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0
CERS2	CERS2	mRNA	2	0	5000	0	0	2544	7	0	9831	5	0	7287	0	0	0	0	0	22	0	0	20	0	0	5000	2	0	975	0	0	426	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0
CERS3	CERS3	mRNA	0	0	5000	2	0	3894	15	0	144326	12	0	140432	0	0	0	0	0	24	0	0	24	0	0	5000	1	0	2318	0	0	424	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	1	0	0	0	1	0
CERS4	CERS4	mRNA	0	0	5000	4	0	1816	25	0	53088	18	0	51272	0	0	0	0	0	22	0	0	22	1	0	5000	3	0	311	0	0	320	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0	1	0	0	1	3	0
CERS5	CERS5	mRNA	0	0	5000	2	0	1943	23	0	37517	21	0	35574	0	0	0	0	0	18	0	0	18	0	0	5000	0	0	747	0	0	17	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	1	0	0	0	0	0
CERS6	CERS6	mRNA	0	0	5000	1	0	6851	8	0	318886	7	0	312035	0	0	0	0	0	20	0	0	20	1	0	5000	0	0	5472	0	0	200	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	1	0	0
CERS6-AS1	CERS6-AS1	Non-coding_transcript	0	0	5000	0	0	2985	0	0	14479	0	0	11494	0	0	0	0	0	6	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CES1	CES1	mRNA	0	0	5000	10	0	2012	42	0	30312	31	0	28300	0	0	0	0	0	30	0	0	26	2	0	5000	0	0	197	1	0	108	0	0	0	0	0	0	0	31	6	0	0	0	0	0	0	4	0	0	2	0	1
CES1P1	CES1P1	Non-coding_transcript	6	0	5000	17	0	2247	47	0	14316	30	0	12069	0	0	0	0	0	10	0	0	10	2	0	5000	0	0	0	0	0	0	0	0	0	0	6	17	0	30	0	0	0	0	0	0	0	0	0	0	2	0	0
CES1P2	CES1P2	Non-coding_transcript	0	0	5000	5	0	1595	20	0	25287	15	0	23692	0	0	0	0	0	26	0	0	26	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
CES2	CES2	mRNA	0	0	5000	3	0	4203	1	0	10648	0	0	6445	0	0	0	0	0	22	0	0	26	0	0	5027	0	0	1066	0	0	1000	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
CES3	CES3	mRNA	0	0	5000	0	0	4320	0	0	13921	0	0	9601	0	0	0	0	0	26	0	0	26	0	0	10000	0	0	2100	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CES4A	CES4A	mRNA	0	0	5000	0	0	2621	2	0	21168	2	0	18547	0	0	0	0	0	26	0	0	28	0	0	10000	0	0	691	0	0	343	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CES5A	CES5A	mRNA	0	0	5000	4	0	2480	25	0	109878	21	0	107398	0	0	0	1	0	26	0	0	28	0	0	10000	1	0	297	2	0	295	0	0	0	0	0	0	0	21	1	0	1	0	0	0	0	3	0	0	0	1	2
CES5AP1	CES5AP1	Non-coding_transcript	1	0	5000	2	0	880	10	0	22521	8	0	21641	0	0	0	0	0	12	0	0	12	2	0	5000	0	0	0	0	0	0	0	0	0	0	1	2	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0
CETN1	CETN1	mRNA	0	0	5000	0	0	1156	0	0	1156	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	597	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CETN2	CETN2	mRNA	0	0	5000	0	0	1080	0	0	3431	2	0	2351	0	0	0	0	0	8	0	0	8	0	0	5000	0	0	514	0	0	47	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN3	CETN3	mRNA	0	0	5000	0	0	981	1	0	16075	1	0	15094	0	0	0	0	0	8	0	0	8	5	0	5000	0	0	352	0	0	125	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
CETN4P	CETN4P	Non-coding_transcript	0	0	5000	0	0	629	0	0	2270	0	0	1641	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETP	CETP	mRNA	2	0	5000	16	0	1717	51	0	21922	35	0	20205	0	0	0	0	0	30	0	0	30	7	0	5000	0	0	178	0	0	57	0	0	0	0	2	0	0	35	9	0	0	0	0	7	0	1	0	0	7	0	0
CFB	CFB	mRNA	0	0	5000	0	0	2046	0	0	4821	0	0	2775	0	0	0	0	0	24	0	0	24	0	0	5000	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB.2	CFB	mRNA	0	0	5000	0	0	2627	0	0	6141	0	0	3514	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB.3	CFB	mRNA	0	0	5000	0	0	2627	0	0	6141	0	0	3514	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB.4	CFB	mRNA	0	0	5000	14	0	2627	1	0	6141	3	0	3514	0	0	0	0	0	34	0	0	34	1	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	1	0	0	1	0	0
CFB.5	CFB	mRNA	0	0	5000	0	0	2627	0	0	6141	0	0	3514	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB.6	CFB	mRNA	0	0	5000	0	0	2627	0	0	6141	0	0	3514	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB.7	CFB	mRNA	0	0	5000	0	0	2627	0	0	6141	0	0	3514	0	0	0	0	0	34	0	0	34	0	0	5000	0	0	54	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFC1	CFC1	mRNA	0	0	5000	13	0	1672	13	0	7411	2	0	5739	0	0	0	0	0	10	0	0	10	0	0	5000	0	0	712	0	0	288	0	0	0	0	0	0	0	2	10	0	0	0	0	1	0	8	0	0	0	0	0
CFC1B	CFC1B	mRNA	0	0	5000	0	0	1160	0	0	6899	0	0	5739	0	0	0	0	0	10	0	0	10	0	0	5000	0	0	97	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFC1B.2	CFC1B	mRNA	0	0	5000	0	0	1160	0	0	6899	0	0	5739	0	0	0	0	0	10	0	0	10	0	0	5000	0	0	97	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFD	CFD	mRNA	3	0	5000	2	0	1159	5	0	3946	6	0	2787	0	0	0	0	0	8	0	0	8	40	0	5000	2	0	372	0	0	25	0	0	0	0	3	0	0	6	1	0	0	0	0	1	0	0	0	0	40	2	0
CFDP1	CFDP1	mRNA	0	0	5000	1	0	1279	21	0	139780	19	0	138501	0	0	0	0	0	12	0	0	12	1	0	5000	1	0	242	0	0	137	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	1	1	0
CFH	CFH	mRNA	0	0	10000	122	0	4375	143	0	95627	21	0	91252	0	0	0	0	0	44	0	0	42	1	0	5000	0	0	425	0	0	240	0	0	0	0	0	0	0	21	105	0	0	0	0	15	0	6	0	0	1	0	0
CFHR1	CFHR1	mRNA	1	0	5000	6	0	1297	22	0	12459	15	0	11162	0	0	0	0	0	10	0	0	10	0	0	5000	1	0	190	0	0	114	0	0	0	0	1	0	0	15	2	0	0	0	0	1	0	3	0	0	0	1	0
CFHR2	CFHR2	mRNA	0	0	5000	1	0	1036	5	0	15423	4	0	14387	0	0	0	0	0	8	0	0	8	0	0	5000	0	0	146	0	0	77	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0
CFHR3	CFHR3	mRNA	0	0	5000	1	0	1640	10	0	19274	9	0	17634	0	0	0	0	0	10	0	0	10	2	0	5000	0	0	560	1	0	87	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	2	0	1
CFHR4	CFHR4	mRNA	0	0	5000	3	0	2181	9	0	30700	8	0	28519	0	0	0	0	0	20	0	0	18	0	0	5000	0	0	307	0	0	137	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	1	0	0	0	0	0
CFHR5	CFHR5	mRNA	0	0	5000	11	0	2828	15	0	32137	3	0	29309	0	0	0	0	0	18	0	0	18	0	0	5000	0	0	990	1	0	128	0	0	0	0	0	0	0	3	10	0	0	0	0	1	0	0	0	0	0	0	1
CFI	CFI	mRNA	1	0	5000	55	0	2161	77	0	61488	21	0	59327	0	0	0	0	0	24	0	0	24	0	0	5000	1	0	201	0	0	208	0	0	0	0	1	0	0	21	35	0	0	0	0	5	0	15	0	0	0	1	0
CFL1	CFL1	mRNA	2	0	5000	1	0	1257	0	0	3520	5	0	2263	0	0	0	0	0	6	0	0	6	7	0	5000	0	0	522	0	0	234	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	7	0	0
CFL1P1	CFL1P1	Non-coding_transcript	0	0	5000	0	0	2120	0	0	27300	0	0	25180	0	0	0	0	0	6	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFL2	CFL2	mRNA	1	0	5000	4	0	3514	7	0	4442	4	0	928	0	0	0	0	0	6	0	0	14	2	0	6006	0	0	2483	3	0	578	0	0	0	0	1	4	0	4	2	0	0	0	0	0	0	0	0	0	2	0	3
CFLAR	CFLAR	mRNA	1	0	10000	1	0	12191	3	0	56535	2	0	44344	0	0	0	0	0	22	0	0	20	0	0	17392	0	0	9775	0	0	1186	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
CFLAR-AS1	CFLAR-AS1	Non-coding_transcript	0	0	5000	0	0	1041	0	0	17504	0	0	16463	0	0	0	0	0	12	0	0	12	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CFP	CFP	mRNA	1	0	5000	12	0	1775	14	0	6093	2	0	4318	0	0	0	0	0	18	0	0	18	0	0	5335	0	0	62	0	0	303	0	0	0	0	1	0	0	2	7	0	0	0	0	0	0	5	0	0	0	0	0
CFTR	CFTR	mRNA	0	0	5000	760	0	6131	772	0	188702	8	0	182571	3	0	0	0	0	52	0	0	52	0	0	5000	1	0	1556	0	0	132	0	0	0	0	0	0	0	8	625	0	0	0	3	161	1	2	0	0	0	1	0
CGA	CGA	mRNA	0	0	5000	0	0	844	3	0	9650	2	0	8806	0	0	0	0	0	8	1	0	8	0	0	5000	1	0	258	0	0	142	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
CGB	CGB	mRNA	1	0	5000	5	0	919	0	0	1507	4	0	588	0	0	0	0	0	4	0	0	4	7	0	5000	0	0	17	5	0	404	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	4	0	0	7	0	5
CGB1	CGB1	mRNA	1	0	5000	0	0	732	0	0	1366	0	0	634	0	0	0	0	0	4	0	0	4	2	0	5000	0	0	41	1	0	223	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
CGB2	CGB2	mRNA	2	0	5000	0	0	732	0	0	1366	1	0	634	0	0	0	0	0	4	0	0	4	7	0	5000	0	0	17	0	0	223	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0
CGB5	CGB5	mRNA	4	0	5000	2	0	880	0	0	1467	0	0	587	0	0	0	0	0	4	0	0	4	2	0	5000	0	0	17	6	0	365	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	6
CGB7	CGB7	mRNA	10	0	5000	1	0	880	9	0	1467	3	0	587	0	0	0	0	0	4	0	0	4	6	0	5000	0	0	17	5	0	365	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	1	0	0	6	0	5
CGB8	CGB8	mRNA	8	0	5000	0	0	887	0	0	1474	0	0	587	0	0	0	0	0	4	0	0	4	6	0	5000	0	0	17	1	0	372	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1
CGGBP1	CGGBP1	mRNA	0	0	5000	0	0	4804	10	0	97917	10	0	93113	0	0	0	0	0	8	0	0	10	4	0	10000	0	0	3523	0	0	777	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4	0	0
CGN	CGN	mRNA	1	0	5000	1	0	5101	14	0	27306	11	0	22205	0	0	0	0	0	40	0	0	40	1	0	5000	1	0	1345	1	0	144	0	0	0	0	1	0	0	11	1	0	0	0	0	0	0	0	0	0	1	1	1
CGNL1	CGNL1	mRNA	0	0	5000	3	0	7339	26	0	174223	23	0	166884	0	0	0	0	0	38	0	0	38	0	0	5000	0	0	3237	0	0	193	0	0	0	0	0	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0
CGREF1	CGREF1	mRNA	3	0	6241	4	0	3046	7	0	19775	7	0	16729	0	0	0	0	0	14	0	0	18	0	0	10222	2	0	1111	0	0	1002	0	0	0	0	3	0	0	7	1	0	0	0	0	0	0	3	0	0	0	2	0
CGRRF1	CGRRF1	mRNA	0	0	5000	0	0	1323	0	0	28748	0	0	27425	0	0	0	0	0	10	0	0	10	0	0	5000	0	0	233	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH25H	CH25H	mRNA	0	0	5000	2	0	1378	2	0	1378	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	537	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
